customer_id,first_name,last_name,email,phone_number,address,date_of_birth,registration_date,last_login_date,customer_segment,total_spent,loyalty_points,is_subscribed_to_newsletter
sdv-id-CPlKim,Travis,Wheeler,christopher97@example.org,439-796-9009,"555 Las Vegas Blvd S, Las Vegas, NV 89109",1999-12-30 19:17:05,2022-10-11 08:44:06,2024-05-30 17:09:07,Standard,170.01,370,True
sdv-id-wGJNfc,Crystal,Mayer,walkerdon@example.com,905.656.1847,"666 SW Broadway, Portland, OR 97205",1979-11-29 15:26:52,2019-04-29 03:08:17,2024-05-07 09:42:39,Premium,15535.42,8091,False
sdv-id-jTeBgt,Lisa,Love,jacquelinewood@example.com,001-379-268-5983x749,"777 Redwood Pkwy, San Jose, CA 95101",1998-10-04 18:03:41,2021-01-21 00:08:31,2024-06-01 10:40:21,Standard,632.77,432,True
sdv-id-IhpmGD,Kevin,Johnson,richlisa@example.com,(680)372-2855x472,"343 Monument Cir, Indianapolis, IN 46204",2002-12-27 12:55:19,2023-07-09 05:16:17,2024-06-02 11:11:10,Premium,111.32,191,True
sdv-id-KzZrbB,Brian,King,fallen@example.net,(719)686-7656,"222 Beacon St, Boston, MA 02116",1998-10-10 00:23:50,2021-12-12 12:56:46,2024-06-01 12:39:48,VIP,111.47,924,False
sdv-id-nwOACS,Donna,Smith,jacob85@example.com,529-704-9209,"777 Redwood Pkwy, San Jose, CA 95101",1992-12-07 13:39:00,2021-03-04 11:58:56,2024-05-23 03:25:01,Standard,203.27,3058,False
sdv-id-PHvANI,Justin,White,daniel33@example.net,(371)862-1902,"121 Market St, San Francisco, CA 94102",1984-08-10 04:29:22,2020-01-30 23:59:24,2024-05-11 04:29:39,Standard,14574.29,4597,True
sdv-id-xipRBj,Austin,Brady,deborahhernandez@example.org,963-301-7137x10047,"777 Redwood Pkwy, San Jose, CA 95101",1974-11-19 10:38:26,2018-10-13 13:27:14,2024-03-04 12:50:20,Premium,10139.89,3225,False
sdv-id-kBEfRi,Andrew,Johnson,pbrown@example.net,693-233-4886x100,"212 Cedar Rd, Philadelphia, PA 19101",1972-10-31 07:32:52,2018-07-31 21:09:24,2024-03-15 04:25:08,Standard,21879.81,8958,True
sdv-id-oqmDHZ,Melanie,Hernandez,larsenkyle@example.net,805-399-7141x64023,"101 Birch Blvd, Houston, TX 77001",1977-02-04 06:56:50,2020-11-18 17:37:10,2024-03-24 04:46:11,Premium,22665.46,17554,True
sdv-id-BjudQa,Elizabeth,Smith,alanchoi@example.org,001-237-596-7318x3346,"222 Beacon St, Boston, MA 02116",2001-05-19 12:37:29,2021-08-12 11:54:04,2024-06-02 06:35:33,VIP,111.32,190,True
sdv-id-gfWwAF,Daniel,Hampton,deborah38@example.com,+1-341-295-3983,"343 Monument Cir, Indianapolis, IN 46204",2000-01-18 23:30:48,2021-07-07 13:08:08,2024-05-30 11:22:50,Standard,129.08,2663,False
sdv-id-hshFaC,Stuart,Hogan,carrollgail@example.org,607.221.3788,"212 Cedar Rd, Philadelphia, PA 19101",1988-07-23 03:58:08,2018-08-26 15:17:09,2024-05-19 17:18:47,Premium,2871.36,771,False
sdv-id-llVhqv,Christina,Boyd,mmiller@example.net,001-764-444-8978,"444 Woodward Ave, Detroit, MI 48226",1990-04-01 09:47:08,2019-04-30 15:36:06,2024-05-05 22:04:25,Standard,16287.48,611,True
sdv-id-vZQBcK,Hannah,Hall,desireewright@example.net,(433)246-9063x74475,"444 Woodward Ave, Detroit, MI 48226",2000-07-06 04:39:02,2021-04-21 01:52:02,2024-06-01 17:23:17,Standard,112.5,181,True
sdv-id-ptkwXx,Louis,Mendoza,jessicastevenson@example.org,+1-515-766-7488x51903,Sample Data,1996-07-31 02:09:32,2020-03-06 05:09:16,2024-04-11 03:19:37,Standard,112.11,196,False
sdv-id-rYclUm,Lauren,Tran,georgemendoza@example.org,860-208-4598x093,"777 E Pratt St, Baltimore, MD 21202",1998-03-23 08:49:35,2018-09-19 11:43:16,2024-05-30 04:34:04,Standard,123.9,413,True
sdv-id-jiRHdP,Thomas,Murray,richard09@example.org,(692)275-3223x4743,"666 SW Broadway, Portland, OR 97205",1976-06-06 04:59:57,2020-04-18 20:44:33,2024-05-20 22:23:07,Standard,13666.97,13378,True
sdv-id-ORjnne,Erin,Smith,christopherhill@example.org,320-491-0766x671,"777 E Pratt St, Baltimore, MD 21202",1990-08-30 13:25:28,2020-12-12 17:33:48,2024-05-24 16:31:33,VIP,222.39,2992,True
sdv-id-DrqEuL,Lisa,Edwards,stefanie33@example.com,001-458-651-5276x4568,"333 Pennsylvania Ave NW, Washington, DC 20004",2001-02-14 02:18:25,2019-10-24 19:41:28,2024-06-02 11:08:55,Premium,127.29,259,True
sdv-id-SgBfoN,Lance,Garza,dawn30@example.org,(351)905-9741,"444 Willow Way, San Antonio, TX 78201",2002-09-02 13:12:36,2023-11-05 19:26:45,2024-05-30 20:02:59,Premium,111.67,222,False
sdv-id-WQteDI,David,Ellis,ashley64@example.org,896.632.1976x982,"555 Aspen Dr, San Diego, CA 92101",1990-05-24 21:40:30,2020-12-16 07:14:57,2024-05-29 06:32:15,Standard,6184.65,601,True
sdv-id-CdSyTa,Patrick,Fuller,johnsonadam@example.org,734-796-0358x414,"565 High St, Columbus, OH 43215",1985-02-27 02:45:23,2022-12-19 18:50:31,2024-04-11 15:42:22,Premium,13845.14,9099,False
sdv-id-iftWyq,David,Holmes,srobles@example.net,(689)825-9948x25897,"565 High St, Columbus, OH 43215",1976-05-15 16:55:56,2021-02-17 19:07:40,2024-04-05 09:49:19,Standard,11179.64,7960,True
sdv-id-fZLfsH,Maurice,Hurley,manuelsmith@example.org,001-700-539-1388x4308,"101 Birch Blvd, Houston, TX 77001",1969-05-07 20:08:15,2018-05-30 06:01:14,2024-04-12 20:11:04,Standard,24670.19,15468,True
sdv-id-JvdIia,Annette,Walker,brandon45@example.com,(803)670-6286,"909 Pike Pl, Seattle, WA 98101",2003-02-06 01:43:29,2024-01-01 01:01:01,2024-06-02 11:10:19,Premium,111.32,180,True
sdv-id-tZVwUM,Julia,Martinez,gdavis@example.com,241.445.4211x96757,"789 Pine Ln, Los Angeles, CA 90001",1982-05-30 13:53:36,2018-04-09 14:13:37,2024-04-20 21:52:57,Premium,8657.0,13032,False
sdv-id-sZKFOn,Kara,Davis,caldwelllatasha@example.com,001-633-325-9465x0147,"444 Willow Way, San Antonio, TX 78201",1996-02-01 01:54:55,2021-02-18 20:42:59,2024-05-31 07:56:14,Premium,125.22,3063,True
sdv-id-wBlLfK,Victoria,Caldwell,jgarcia@example.com,4947615312,"101 Birch Blvd, Houston, TX 77001",1993-06-09 02:09:54,2020-10-06 14:56:42,2024-05-28 15:37:49,Premium,140.92,2752,True
sdv-id-xSevYF,Shannon,Adkins,nlong@example.net,(857)924-9212x74222,"789 Pine Ln, Los Angeles, CA 90001",1994-11-13 17:50:47,2022-03-31 04:59:53,2024-05-31 15:04:50,Premium,590.99,407,True
sdv-id-gplXRO,Patrick,Parker,karen84@example.com,209-267-5358x654,Sample Data,1981-05-02 20:20:54,2021-03-28 06:59:20,2024-04-22 03:24:10,Premium,5002.48,1997,True
sdv-id-YbouxX,Courtney,Jones,herreravincent@example.org,646.510.6190x46181,"666 SW Broadway, Portland, OR 97205",1990-06-03 09:59:28,2020-01-05 02:55:43,2024-05-17 15:53:23,Premium,4229.36,4234,True
sdv-id-zeCWgL,Tina,Petersen,bsmith@example.net,846-815-0067x651,"555 Las Vegas Blvd S, Las Vegas, NV 89109",1984-12-21 11:43:37,2019-06-12 19:30:40,2024-05-23 15:51:22,Standard,6369.38,10344,False
sdv-id-PThvUI,David,Robbins,vanessa17@example.net,(660)396-9090x2442,"666 SW Broadway, Portland, OR 97205",1998-05-18 10:42:54,2023-09-24 09:43:26,2024-06-02 10:54:42,Standard,602.51,596,False
sdv-id-oUhvCC,Michael,Cain,powersalicia@example.net,001-994-932-2381,"555 Las Vegas Blvd S, Las Vegas, NV 89109",1997-11-13 22:41:58,2022-03-21 18:10:22,2024-05-27 21:48:22,VIP,315.97,713,False
sdv-id-TAJGwe,Michael,Mercado,joseph00@example.net,915.647.5233x078,"777 Redwood Pkwy, San Jose, CA 95101",1975-09-03 10:41:19,2020-04-01 11:36:06,2024-04-27 19:46:25,Standard,17666.93,7850,False
sdv-id-UofCbM,Kimberly,Davidson,samuel70@example.com,+1-867-820-4867x0135,"666 SW Broadway, Portland, OR 97205",1998-05-19 13:45:11,2022-08-31 18:29:09,2024-06-02 02:35:25,Standard,149.23,1038,True
sdv-id-iweXxN,Stephanie,King,natalie25@example.net,(407)637-5130,"212 Cedar Rd, Philadelphia, PA 19101",1983-09-23 15:41:33,2020-10-29 11:01:17,2024-05-18 01:07:04,Standard,16540.91,4768,True
sdv-id-VnjYDQ,Thomas,Smith,williebuchanan@example.net,943.997.7389x15625,"444 Woodward Ave, Detroit, MI 48226",1993-11-26 22:56:51,2020-08-07 03:19:55,2024-05-29 16:13:05,Premium,197.86,1321,True
sdv-id-eNFRio,Justin,Bennett,sdaniels@example.net,8138190772,"444 Willow Way, San Antonio, TX 78201",1989-07-22 05:43:51,2020-01-20 16:56:45,2024-05-29 23:52:31,VIP,6611.56,4229,True
sdv-id-oHNffc,Roger,Miller,kennethtucker@example.com,216-812-8757,"777 Redwood Pkwy, San Jose, CA 95101",1978-10-12 04:55:58,2018-07-25 20:46:21,2024-04-20 09:46:13,VIP,293.21,13381,True
sdv-id-mYASah,Justin,Grant,kaylatucker@example.net,307.456.0182,"111 16th St Mall, Denver, CO 80202",1967-01-28 14:23:39,2018-04-01 15:29:08,2023-10-31 05:45:00,Standard,23233.1,12701,True
sdv-id-rNyRms,Douglas,Griffith,janetcaldwell@example.com,(700)558-2759x1840,"555 Las Vegas Blvd S, Las Vegas, NV 89109",1977-08-27 19:05:07,2018-11-10 19:11:32,2024-04-21 20:21:58,Standard,16540.29,13087,True
sdv-id-dcvAZq,Jeffrey,Edwards,hmaldonado@example.net,696-979-8109x663,"999 Riverfront Dr, Jacksonville, FL 32202",1978-10-05 02:33:16,2018-12-24 08:28:28,2024-04-14 13:00:18,Standard,2330.82,1732,True
sdv-id-dvNeKk,Thomas,King,josephkelly@example.org,310-795-0235x731,"343 Monument Cir, Indianapolis, IN 46204",1972-08-13 13:51:26,2018-02-19 17:26:11,2024-04-12 04:43:21,Standard,16158.27,8338,True
sdv-id-TVByaA,Paul,Coffey,kara22@example.com,001-446-714-3842x8074,"666 SW Broadway, Portland, OR 97205",1976-02-01 00:06:51,2019-05-14 17:52:26,2024-04-22 20:01:35,Standard,15602.2,12870,True
sdv-id-fckMHr,Timothy,Burns,cynthiawallace@example.com,(314)391-5364x62660,"787 Trade St, Charlotte, NC 28202",1982-09-06 02:03:53,2018-12-20 20:51:55,2024-05-08 10:10:01,Standard,1400.55,6620,True
sdv-id-VFDjbe,Kathy,Norman,crivers@example.com,327-956-0940,"456 Oak Ave, Chicago, IL 60601",1969-10-08 17:54:40,2018-08-22 14:04:14,2024-01-09 05:15:54,VIP,18204.76,17431,False
sdv-id-nAumew,Ashley,Bell,wilsonmark@example.com,001-807-796-0155,"343 Monument Cir, Indianapolis, IN 46204",1996-05-15 13:21:52,2022-03-26 13:38:56,2024-05-25 04:53:40,Standard,847.82,1118,True
